subclass,labels
G01V,8265809
H02G,8265809
B63B,8215252
B63H,8215252
G05D,8145372
G01C,8117890
B63B,8087370
B63H,8062081
G08B,8022844
G01S,8004934
G01P,7997134
G01C,7997134
B63H,7980905
B63H,7877174
G05D,7818092
B63H,7775844
G05D,7775844
B60L,7775844
G01S,7768443
G06F,7751977
G06F,7747710
G01S,7720629
G01P,7720629
G01F,7720629
B63B,7661380
B63J,7661380
G01C,7603786
B63H,7494393
G05D,7494393
B63H,7494394
G05D,7494394
B63H,7491104
B63H,7485021
B60L,7485021
B63H,7465203
G05D,7465203
B63H,7416456
B63H,7398742
G05D,7398742
G06F,7389165
G05D,7389165
B63H,7384321
B63H,7367854
G06F,7343261
G08B,7327286
B63B,7318389
G05B,7308357
G05D,7177734
B63B,7177734
B63H,7160158
G01S,7133327
B63H,7105800
G06F,7082355
B63H,7036445
B63B,6994049
G08B,6882289
B63H,6878019
B63H,6857917
G01C,6851317
G01P,6851317
B63H,6612881
B63B,6571722
B63H,6458003
G01C,6415209
B63H,6408777
B63H,6299496
B63H,6273769
B63B,6213041
G06Q,8229776
G06F,8229776
G06G,8229776
B63H,8062081
B63H,8062082
B63H,8050849
G06F,8050849
B63B,8001918
B63B,7997221
B63B,7992508
B63B,7677191
B63B,7654212
G06F,7467051
G01R,7467051
B63H,7422498
B63H,7384321
G01C,7111522
F16P,7111522
H02K,7111522
B63B,7017505
B63B,6994049
B63H,6857917
B63H,6752672
B63H,6712651
B63B,6571722
